workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1118942,2013-01-18 06:58:00,2013-01-18 13:30:00,N546ND,6769.200000000001,7100.0,IDLE & MIXTURE NEED TO BE ADJUSTED FOR SEASONAL TEMPERATURE CONDITIONS.,2013-01-18,ADJUSTED MIXTURE & IDLE FOR SEASONAL TEMPERATURE CONDITIONS.,c_31,mixture adjust mixture control
1118946,2013-01-18 09:23:00,2013-01-18 13:44:00,N521ND,6840.9,7610.0,MIXTURE IS NOT HITTING CUT OFF STOP.,2013-01-18,"ADJUSTED MIXTURE RIGGING, OPS CHECKED GOOD.",c_31,mixture adjust mixture control
1119361,2013-01-30 06:45:00,2013-02-07 11:28:00,N536ND,7217.099999999999,7610.0,NO RISE ON IDLE MIXTURE CHECK.,2013-02-07,ADJUSTED MIXTURE FOR SEASONAL CONDITIONS.,c_31,mixture adjust mixture control
1119430,2013-02-01 08:34:00,2013-02-01 14:56:00,N577ND,7752.0,7100.0,"ENGINE SHUT OFF DURING IDLE, AFTER LANDING.",2013-02-01,"RAN A/C & FOUND IDLE MIXTURE TO BE LOW. ADJUSTED MIXTURE TO SPECS FOR SEASONAL TEMPERATURE, OPS CHECK GOOD.",c_31,mixture adjust mixture control
1119455,2013-02-01 14:36:00,2013-02-01 15:15:00,N557ND,7114.6,7400.0,IDLE RPM @ 620 ON HARD STOP W/ 110 RPM RISE.,2013-02-01,ADJUSTED THROTTLE & MIXTURE TO SPECS TO COMPENSATE TEMP. OPS CHECK GOOD.,c_31,mixture adjust mixture control
1119459,2013-02-01 14:50:00,2013-02-01 15:21:00,N565ND,7474.1,7600.0,MIXTURE CABLE BOOT IS TORN.,2013-02-01,REPAIRED BOOT.,c_31,mixture adjust mixture control
1119498,2013-02-03 10:11:00,2013-02-06 14:55:00,N510ND,7481.099999999999,400.0,"AD 2001-06-17, IMPROPER FUEL FLOW SETTINGS DUE. EFF DATE 4/20/01.",2013-02-06,SET IDLE SPEED & IDLE MIXTURE TO SPECS. NEXT DUE @ 2471.8 TACH.,c_31,mixture adjust mixture control
1119498,2013-02-03 10:11:00,2013-02-06 14:55:00,N510ND,7481.099999999999,7200.0,ENGINE DUE TIME CHANGE.,2013-02-06,"REMOVED & REPLACED EGT PROBE STAND OFFS ON #1 & 2 CYL, INSTALLED GROMMET ON #1 CYL FWD BAFFLE. RAN UP ENGINE, SET IDLE SPEED & IDLE MIXTURE. OPS & LEAK CHECK GOOD. COMPLETED LOGBOOK ENTRIES & PAPERWORK.",c_31,mixture adjust mixture control
1119792,2013-02-12 14:43:00,2013-02-12 15:21:00,N513ND,11281.4,7320.0,ENGINE IDLES AT 300 - 400 RPM.,2013-02-12,ADJUSTED IDLE RPM & MIXTURE. IDLE OPS CHECK GOOD.,c_31,mixture adjust mixture control
1119803,2013-02-13 06:22:00,2013-02-15 14:48:00,N540ND,7625.700000000001,7100.0,ENGINE DUE TIME CHANGE.,2013-02-15,"RAN UP A/C, OPS & LEAK CHECK GOOD. SET IDLE RPM & MIXTURE RISE, OPS CHECK GOOD. INSTALLED COWLING. RECORDED ENTRY IN ENGINE LOG BOOK. SEE W/O #1119931 FOR MX FLIGHT.",c_31,mixture adjust mixture control
1119920,2013-02-15 09:13:00,2013-02-19 11:21:00,N577ND,7861.200000000001,400.0,"AD 2001-06-17, IMPROPER FUEL FLOW SETTINGS DUE. EFF DATE 4/20/01.",2013-02-17,"C/W AD, ADJUSTED IDLE SPEED & MIXTURE RISE. NEXT DUE @ 2321.1 TACH.",c_31,mixture adjust mixture control
1120111,2013-02-22 12:48:00,2013-02-22 14:34:00,N517ND,8827.3,7320.0,IDLE IS LOW.,2013-02-22,ADJUSTED IDLE RPM & IDLE MIXTURE.,c_31,mixture adjust mixture control
1120316,2013-03-01 14:44:00,2013-03-02 13:19:00,N513ND,11435.6,7320.0,MIXTURE NEEDS TO BE ENRICHED.,2013-03-01,ENRICHENED MIXTURE.,c_31,mixture adjust mixture control
1120316,2013-03-01 14:44:00,2013-03-02 13:19:00,N513ND,11435.6,7320.0,MIXTURE NEEDS TO BE ENRICHED.,2013-03-02,OPERATIONAL CHECK GOOD.,c_31,mixture adjust mixture control
1120478,2013-03-07 14:34:00,2013-03-07 15:25:00,N579ND,6504.0,7420.0,"ON RUN UP, L/H MAG CHECK, 200 RPM DROP.",2013-03-07,"RAN A/C, LEANED MIXTURE TO CLEAR PLUGS. OPS CHECK GOOD.",c_31,mixture adjust mixture control
1120540,2013-03-10 07:21:00,2013-03-10 13:40:00,N522ND,11711.4,7320.0,ENGINE FAILS TO IDLE.,2013-03-10,"WARMED ENG UP TO TEMP, ADJUSTED IDLE MIXTURE & RPM. IDLE OPS CHECK GOOD.",c_31,mixture adjust mixture control
1120606,2013-03-11 14:25:00,2013-03-11 15:33:00,N570ND,7702.700000000001,7100.0,"3 DIFFERENT TIMES W/ MILD TO MODERATE VIBRATIONS FEELING AS THOUGH LOST PARTICAL POWER. AROUND 3000 FT, 2500 RPM ON APPROACH TO CKN.",2013-03-11,"RAN ENG, ADJUSTED IDLE MIXTURE & RPM. INSPECTED ENGINE NOTING NO DISCREPS. SEE W/O #1120612 FOR MX FLIGHT.",c_31,mixture adjust mixture control
1120638,2013-03-12 12:32:00,2013-03-15 14:37:00,N523ND,4588.0,7720.0,#2 EGT READ HIGH 100 - 150 DEGREES ABOVE OTHER CYLS.,2013-03-13,"DURING ENG RUN WHEN MIXTURE IS LEANED, #2 CYL GOES COLD BEFORE 1, 3 & 4, INDICATING #2 FUEL RESTRICTION.INSTALLED FLOW DIVIDER & #2 FUEL LINE FROM CORE ENGINE. PROBLEM PERSISTS.",c_31,mixture adjust mixture control
1120768,2013-03-17 14:28:00,2013-03-19 14:01:00,N572ND,7245.3,7300.0,NO RPM RISE WHEN MIXTURE IS LEANED AT IDLE.,2013-03-19,OPS CHECK GOOD.,c_31,mixture adjust mixture control
1120768,2013-03-17 14:28:00,2013-03-19 14:01:00,N572ND,7245.3,7300.0,NO RPM RISE WHEN MIXTURE IS LEANED AT IDLE.,2013-03-19,ADJUSTED IDLE MIXTURE.,c_31,mixture adjust mixture control
1121127,2013-03-26 18:55:00,2013-03-28 14:53:00,N508ND,6457.5,7610.0,IDLE MIXTURE IS TOO RICH.,2013-03-28,ADJUSTED IDLE MIXTURE DUE TO SEASONAL CHANGE.,c_31,mixture adjust mixture control
1121344,2013-04-02 14:56:00,2013-07-26 15:19:00,N522ND,11961.6,7310.0,"NO RPM RISE DURING MIXTURE CHECK, NEEDS TO BE ADJUSTED.",2013-07-26,"RAN A/C, IDLE MIXTURE CK GOOD.",c_31,mixture adjust mixture control
1121539,2013-04-09 15:01:00,2013-04-10 13:39:00,N519ND,8503.9,7310.0,IDLE @ 530 RPM W/ 60 RPM RISE.,2013-04-09,ADJUSTED IDLE SPEED & MIXTURE.,c_31,mixture adjust mixture control
1121593,2013-04-10 16:44:00,2013-04-12 14:26:00,N523ND,4837.3,7200.0,A/C DIED DURING IDLE CK.,2013-04-10,"RAN A/C, ATTEMPTED TO ADJUST IDLE MIXTURE TO CORRECT 300 RPM IDLE RISE & FOUND THAT IT WOULDN'T GO DOWN W/ LEAN ADJUSTMENTS.",c_31,mixture adjust mixture control
